DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
2023-12-05 18:00:00,30.3,0,28,71,329,02t
2023-12-05 19:00:00,32.4,0,27,72,247,02t
2023-12-05 20:00:00,35.6,0,27,73,265,02t
2023-12-05 21:00:00,35.6,0,28,74,307,02t
2023-12-05 22:00:00,34.8,0,28,74,328,02t
2023-12-05 23:00:00,28.7,0,28,75,341,02t
2023-12-06 00:00:00,32.2,0,28,75,291,02t
2023-12-06 01:00:00,33.2,0,27,75,292,02t
2023-12-06 02:00:00,29.2,0,27,75,284,02t
2023-12-06 03:00:00,30.5,0,27,76,308,02t
2023-12-06 04:00:00,38.0,0,27,76,309,02t
2023-12-06 05:00:00,38.9,0,27,76,26,02t
2023-12-06 06:00:00,41.5,0,28,76,40,02t
2023-12-06 07:00:00,44.0,0,28,77,29,02t
2023-12-06 08:00:00,42.1,1,28,76,41,02t
2023-12-06 09:00:00,40.3,1,30,74,63,02t
2023-12-06 10:00:00,37.7,1,31,66,76,02t
2023-12-06 11:00:00,24.0,1,33,56,54,02t
2023-12-06 12:00:00,18.3,1,35,47,56,02t
2023-12-06 13:00:00,19.0,1,34,45,34,02t
2023-12-06 14:00:00,11.6,1,34,45,41,02t
2023-12-06 15:00:00,10.9,1,34,47,25,02t
2023-12-06 16:00:00,25.0,1,33,51,267,02t
2023-12-06 17:00:00,33.1,1,33,55,263,02t
2023-12-06 18:00:00,39.4,0,32,58,279,02t
2023-12-06 19:00:00,43.4,1,31,59,64,02t
2023-12-06 20:00:00,36.8,1,30,58,38,02t
2023-12-06 21:00:00,25.1,1,30,60,69,02t
2023-12-06 22:00:00,23.2,1,30,62,92,02t
2023-12-06 23:00:00,23.2,1,29,64,77,02t
2023-12-07 00:00:00,22.5,1,29,66,82,02t
2023-12-07 01:00:00,25.4,1,28,66,87,02t
2023-12-07 02:00:00,16.6,0,28,66,48,02t
2023-12-07 03:00:00,16.8,0,28,66,355,02t
2023-12-07 04:00:00,16.0,0,28,66,323,02t
2023-12-07 05:00:00,17.4,1,28,67,41,02t
2023-12-07 06:00:00,20.9,1,28,68,71,02t
2023-12-07 07:00:00,19.5,1,28,68,81,02t
2023-12-07 08:00:00,18.8,1,28,66,83,02t
2023-12-07 09:00:00,17.9,1,29,61,88,02t
