DATETIMEDATA,PM25,O3,WS,TEMP,RH,WD
2024-01-01 00:00:00,16.5,16.0,1,27,79,115
2024-01-01 01:00:00,33.6,0.0,1,27,82,97
2024-01-01 02:00:00,34.2,0.0,1,26,84,96
2024-01-01 03:00:00,20.1,0.0,1,26,82,108
2024-01-01 04:00:00,16.5,1.0,1,27,79,106
2024-01-01 05:00:00,15.4,1.0,1,26,82,108
2024-01-01 06:00:00,15.7,7.0,1,26,82,109
2024-01-01 07:00:00,18.1,1.0,1,27,79,114
2024-01-01 08:00:00,19.5,0.0,1,28,72,110
2024-01-01 09:00:00,17.5,1.0,1,29,68,120
2024-01-01 10:00:00,16.4,11.415652173913044,1,30,65,151
2024-01-01 11:00:00,15.8,9.0,1,31,60,177
2024-01-01 12:00:00,16.7,14.0,1,32,57,174
2024-01-01 13:00:00,14.8,25.0,1,32,53,157
2024-01-01 14:00:00,13.4,0.0,1,32,50,144
2024-01-01 15:00:00,10.4,21.0,1,32,52,151
2024-01-01 16:00:00,11.4,21.0,1,31,56,146
2024-01-01 17:00:00,12.7,0.0,2,30,62,128
2024-01-01 18:00:00,13.9,19.0,1,29,71,148
2024-01-01 19:00:00,14.5,10.0,1,28,75,149
2024-01-01 20:00:00,13.1,0.0,1,28,76,121
2024-01-01 21:00:00,15.2,0.0,1,28,76,116
2024-01-01 22:00:00,16.9,2.0,1,28,78,116
2024-01-01 23:00:00,15.2,2.0,1,28,79,117
2024-01-02 00:00:00,12.4,0.0,2,27,79,120
2024-01-02 01:00:00,11.8,7.0,1,27,80,114
2024-01-02 02:00:00,12.5,0.0,0,26,85,106
2024-01-02 03:00:00,13.5,1.0,0,26,89,105
2024-01-02 04:00:00,14.9,1.0,1,25,91,107
2024-01-02 05:00:00,12.6,1.0,0,25,93,103
2024-01-02 06:00:00,15.2,0.0,0,25,92,105
2024-01-02 07:00:00,19.3,2.0,1,26,88,106
2024-01-02 08:00:00,18.7,0.0,1,29,72,118
2024-01-02 09:00:00,17.2,9.0,2,30,66,129
2024-01-02 10:00:00,11.7,22.0,1,31,59,132
2024-01-02 11:00:00,12.5,11.415652173913044,1,31,55,193
2024-01-02 12:00:00,11.3,10.0,1,32,55,146
