DATETIMEDATA,hour,day_of_week,day,month,prediction_label
2024-03-07 23:00:00,23,3,7,3,23.17799964904785
2024-03-08 00:00:00,0,4,8,3,21.408999490737916
2024-03-08 01:00:00,1,4,8,3,15.414000082015992
2024-03-08 02:00:00,2,4,8,3,18.298999786376953
2024-03-08 03:00:00,3,4,8,3,20.636999921798704
2024-03-08 04:00:00,4,4,8,3,24.84600047111511
2024-03-08 05:00:00,5,4,8,3,29.161000318527222
2024-03-08 06:00:00,6,4,8,3,30.59199984550476
2024-03-08 07:00:00,7,4,8,3,27.623999786376952
2024-03-08 08:00:00,8,4,8,3,33.49800004959106
2024-03-08 09:00:00,9,4,8,3,25.66799991607666
2024-03-08 10:00:00,10,4,8,3,23.61000053405762
2024-03-08 11:00:00,11,4,8,3,24.598999280929565
2024-03-08 12:00:00,12,4,8,3,23.11499981880188
2024-03-08 13:00:00,13,4,8,3,23.15300012588501
2024-03-08 14:00:00,14,4,8,3,21.95599988937378
2024-03-08 15:00:00,15,4,8,3,22.440999898910523
2024-03-08 16:00:00,16,4,8,3,16.505719480514525
2024-03-08 17:00:00,17,4,8,3,19.209999647140503
2024-03-08 18:00:00,18,4,8,3,17.371000442504883
2024-03-08 19:00:00,19,4,8,3,16.406999788284303
2024-03-08 20:00:00,20,4,8,3,18.448000469207763
2024-03-08 21:00:00,21,4,8,3,17.654999866485596
2024-03-08 22:00:00,22,4,8,3,18.48799940109253
2024-03-08 23:00:00,23,4,8,3,20.716999645233155
2024-03-09 00:00:00,0,5,9,3,17.76500036239624
2024-03-09 01:00:00,1,5,9,3,15.416000528335571
2024-03-09 02:00:00,2,5,9,3,16.616000061035155
2024-03-09 03:00:00,3,5,9,3,18.338000564575196
2024-03-09 04:00:00,4,5,9,3,19.78600004196167
2024-03-09 05:00:00,5,5,9,3,23.473999614715577
2024-03-09 06:00:00,6,5,9,3,24.238999557495116
2024-03-09 07:00:00,7,5,9,3,24.343000373840333
2024-03-09 08:00:00,8,5,9,3,28.383000106811522
2024-03-09 09:00:00,9,5,9,3,21.016000022888182
2024-03-09 10:00:00,10,5,9,3,23.4829998588562
2024-03-09 11:00:00,11,5,9,3,21.137000141143798
